LineName	Wavelength	IP	
Lymanlimit	912		13.6	
LyA		1215.67		13.6	
NV		1240.14		97.89	
CIV		1549.06		64.49	
HeII_UV		1640.42		54.42	
CIII		1908.73		47.45	
MgII		2798.75		15.04			
NeV_blue	3346.82		126.22	
NeV_red		3426.84		126.22	
OII		3728.48		35.12	
H\delta		4102.89		13.60	
H\gamma		4341.68		13.60	
HeII		4687.02		54.42	
H\beta		4862.68		13.60	
OIII_blue	4960.30		54.94	
OIII_red	5008.24		54.94	
HeI		5877.29		54.42	
NII_blue	6549.85		29.60		
H\alpha		6564.61		13.60	
NII_red		6585.28		29.60	
SII_blue	6718.29		23.33	
SII_red		6732.67		23.33	
